date,england,japan,swiss,germany
1981-10-01,0.546,233.1,1.969,2.329
1981-10-02,0.5479,232.05,1.935,2.293
1981-10-05,0.5402,227.6,1.887,2.241
1981-10-06,0.5426,230.4,1.905,2.247
1981-10-07,0.5371,228.5,1.878,2.2165
1981-10-08,0.5281,228.35,1.866,2.229
1981-10-09,0.5262,226.55,1.84,2.183
1981-10-13,0.5368,228.6,1.86,2.209
1981-10-14,0.5384,228.75,1.862,2.2275
1981-10-15,0.5378,230.6,1.87,2.2067
1981-10-16,0.5474,230.6,1.87,2.2375
1981-10-19,0.5426,232.35,1.8645,2.2384
1981-10-20,0.547,232.7,1.876,2.2278
1981-10-21,0.5501,233.7,1.8965,2.2545
1981-10-22,0.552,233.65,1.902,2.273
1981-10-23,0.5487,232.3,1.889,2.28
1981-10-26,0.5537,236.15,1.917,2.317
1981-10-27,0.5513,234.75,1.9085,2.307
1981-10-28,0.5495,234.05,1.883,2.299
1981-10-29,0.5451,234.35,1.86,2.2941
1981-10-30,0.5419,232.8,1.835,2.2542
1981-11-02,0.5349,229.15,1.8025,2.232
1981-11-04,0.5328,227.3,1.788,2.207
1981-11-05,0.5319,228.5,1.793,2.213
1981-11-06,0.533,229.05,1.7905,2.2268
1981-11-09,0.5288,226.78,1.77,2.1978
1981-11-10,0.5336,229.85,1.7925,2.2195
1981-11-12,0.5283,227.25,1.759,2.2083
1981-11-13,0.5229,227.35,1.757,2.2132
1981-11-16,0.5203,225.7,1.766,2.2392
1981-11-17,0.5278,224.25,1.8015,2.2404
1981-11-19,0.523,220.3,1.797,2.2255
1981-11-20,0.5245,218.65,1.818,2.243
1981-11-23,0.5223,217.6,1.806,2.2665
1981-11-24,0.5229,215.9,1.7855,2.2367
1981-11-25,0.5164,216.6,1.78,2.2277
1981-11-27,0.5114,215.65,1.7775,2.2247
1981-11-30,0.5102,214.2,1.7725,2.2035
1981-12-01,0.5137,216.4,1.7865,2.2154
1981-12-02,0.513,214.7,1.7785,2.228
1981-12-03,0.5169,216.65,1.793,2.23
1981-12-04,0.5124,216.5,1.7885,2.22
1981-12-07,0.5134,217.55,1.807,2.2273
1981-12-08,0.518,218,1.827,2.2475
1981-12-09,0.5199,218.4,1.83,2.2449
1981-12-10,0.5276,218.6,1.8465,2.246
1981-12-11,0.5314,219.3,1.846,2.2553
1981-12-14,0.5379,220.75,1.847,2.29
1981-12-15,0.5306,217.5,1.833,2.2776
1981-12-16,0.5287,218.3,1.8275,2.27
1981-12-17,0.5304,218.45,1.823,2.273
1981-12-18,0.5336,219,1.83,2.293
1981-12-21,0.5318,220.05,1.821,2.2842
1981-12-22,0.53,219.35,1.814,2.2705
1981-12-23,0.5285,220.7,1.814,2.2775
1981-12-29,0.5292,222.3,1.805,2.2712
1981-12-30,0.5253,219.8,1.804,2.2675
1981-12-31,0.5233,219.8,1.788,2.2548
1982-01-04,0.5188,218.75,1.7915,2.2338
1982-01-05,0.5219,219.7,1.811,2.254
1982-01-06,0.5199,219.6,1.8105,2.2479
1982-01-07,0.5219,222,1.8285,2.2625
1982-01-08,0.52,221.4,1.827,2.2605
1982-01-11,0.5281,223.3,1.855,2.2714
1982-01-12,0.5315,223.05,1.858,2.295
1982-01-13,0.533,224.35,1.86,2.2809
1982-01-14,0.5384,224.5,1.8545,2.3046
1982-01-15,0.5342,224.5,1.856,2.2996
1982-01-18,0.5335,225.35,1.849,2.307
1982-01-19,0.5277,224.5,1.847,2.2872
1982-01-20,0.5301,225.5,1.8605,2.304
1982-01-21,0.5294,225.65,1.8435,2.3085
1982-01-22,0.5336,227.4,1.853,2.302
1982-01-25,0.5402,229.4,1.8695,2.3355
1982-01-26,0.5376,228.25,1.851,2.3395
1982-01-27,0.5334,229.6,1.8555,2.309
1982-01-28,0.5335,231,1.8575,2.3295
1982-01-29,0.5309,228.3,1.846,2.3085
1982-02-01,0.5356,232.6,1.875,2.3407
1982-02-02,0.5352,233.25,1.883,2.362
1982-02-03,0.5366,234.8,1.897,2.344
1982-02-04,0.5372,233.15,1.877,2.3502
1982-02-05,0.5378,233.5,1.885,2.3392
1982-02-08,0.5375,234.75,1.895,2.3475
1982-02-09,0.5421,236.5,1.9115,2.375
1982-02-10,0.5407,236.35,1.904,2.3665
1982-02-11,0.5401,235.75,1.8973,2.362
1982-02-16,0.5456,240.65,1.911,2.3984
1982-02-17,0.5435,240.35,1.9145,2.387
1982-02-18,0.5429,235.5,1.895,2.3834
1982-02-19,0.54,233.6,1.884,2.3585
1982-02-22,0.5404,232.1,1.872,2.3488
1982-02-23,0.5448,234.9,1.879,2.3615
1982-02-24,0.5469,234.45,1.877,2.3608
1982-02-25,0.5459,236.05,1.88,2.375
1982-02-26,0.5487,237.25,1.899,2.386
1982-03-01,0.549,238.3,1.8935,2.3857
1982-03-02,0.5501,237.7,1.8775,2.3747
1982-03-03,0.5486,236.6,1.8805,2.3684
1982-03-04,0.5474,236.55,1.8705,2.369
1982-03-05,0.5439,233.9,1.85,2.3477
